Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.)
Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,GEO,,30.5,"35,774","35,811",4.39E-04,0.01,1436,"6,465",11/4/2019,15
USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,LEO,Sun-Synchronous,0,526,535,6.52E-04,97.5,95.2,1,24/1/2021,
USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,LEO,Sun-Synchronous,0,522,536,1.01E-03,97.5,95.2,1,24/1/2021,
USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,LEO,Sun-Synchronous,0,522,536,1.01E-03,97.5,95.2,1,24/1/2021,
Norway,Norwegian Defence Research Establishment,Military,Technology Demonstration,LEO,Sun-Synchronous,0,499,510,8.00E-04,97.4,95,10,1/4/2022,
Japan,Aoyama Gakuin University in Tokyo,Civil,Technology Development,LEO,Sun-Synchronous,0,547,572,1.80E-03,97.6,95,1,8/11/2021,
Russia,Naval Physical and Oceanographic Laboratory,Government,Earth Observation,Elliptical,,0,"1,025","39,754",7.24E-01,63.3,717.8,"2,200",28/2/2021,7
USA,Planetary Resources,Commercial,Technology Development,LEO,Sun-Synchronous,0,493,505,8.73E-04,97.5,94.5,10,11/1/2018,
Argentina,ArSat,Commercial,Communications,GEO,,-71.8,"35,778","35,795",2.02E-04,0.01,1436.07,"3,000",16/10/2014,15
Argentina,ArSat,Commercial,Communications,GEO,,-81,"35,786","35,801",1.78E-04,0.01,1436.06,"2,977",30/9/2015,15
Belgium,Aerospacelab,Commercial,Earth Observation,LEO,Sun-Synchronous,0,512,535,1.67E-03,97.5,95.1,20,30/6/2021,
Turkey,Istanbul Technical  University,Civil,Earth Observation,LEO,Sun-Synchronous,0,522,536,1.01E-03,97.5,95.2,5,24/1/2021,
China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,,100.5,"35,778","35,795",2.02E-04,0,1436.11,"3,760",11/8/2009,15
China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,,120,"35,783","35,793",1.19E-04,0.07,1436.17,"3,700",7/9/2014,15
China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,,105.5,"35,782","35,793",1.30E-04,0.02,1436.17,"3,813",25/11/2011,15
China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,,105.5,"35,781","35,793",1.42E-04,0.07,1436.1,"4,500",5/8/2014,15
China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,,122,"35,783","35,790",8.30E-05,0.02,1436.1,"6,140",28/9/2017,15
USA,1Worldspace,Commercial,Communications,GEO,,104.97,"35,773","35,801",3.32E-04,0.02,1436.15,"2,775",21/3/2000,15
Japan,Japan Space Systems,Government,Earth Observation,LEO,Sun-Synchronous,0,506,507,7.27E-05,97.48,94.75,500,6/11/2014,3
Japan,Japan Space Systems,Government,Earth Observation,LEO,Sun-Synchronous,0,493,505,8.73E-04,97.3,94.5,570,17/1/2018,3
Japan,Chiba Institute of Technology,Civil,Technology Development,LEO,Sun-Synchronous,0,556,573,1.23E-03,97.6,94.5,4,8/11/2021,
Luxembourg,SES S.A.,Commercial,Communications,GEO,,19.24,"35,780","35,791",1.30E-04,0.04,1436.08,"3,379",2/12/1997,15
Luxembourg,SES S.A.,Commercial,Communications,GEO,,19.16,"35,766","35,807",4.86E-04,0.08,1436.1,"4,332",20/4/2006,15
Luxembourg,SES S.A.,Commercial,Communications,GEO,,19.3,"35,772","35,798",3.08E-04,0.05,1436.03,"4,500",4/5/2007,15
Luxembourg,SES S.A.,Commercial,Communications,GEO,,19.2,"35,804","35,852",5.69E-04,0.14,1438.2,"5,345",5/11/2008,15
Luxembourg,SES S.A.,Commercial,Communications,GEO,,28.2,"35,715","35,780",7.72E-04,0.12,1434.1,"5,350",6/8/2011,15
Luxembourg,SES S.A.,Commercial,Communications,GEO,,28.16,"35,776","35,797",2.49E-04,0.08,1436.12,"3,635",30/8/1998,15
Luxembourg,SES S.A.,Commercial,Communications,GEO,,28.21,"35,768","35,804",4.27E-04,0.07,1436.12,"3,643",16/6/2001,15
Luxembourg,SES S.A.,Commercial,Communications,GEO,,28.14,"35,770","35,802",3.80E-04,0.07,1436.1,"1,420",19/12/2000,15
Luxembourg,SES S.A.,Commercial,Communications,GEO,,28.2,"35,781","35,793",1.42E-04,0.11,1436.12,"6,052",29/9/2013,15
Luxembourg,SES S.A.,Commercial,Communications,GEO,,28.2,"35,777","35,795",2.13E-04,0.06,1436.07,"6,000",28/9/2012,15
Luxembourg,SES S.A.,Commercial,Communications,GEO,,28.2,"35,785","35,789",4.74E-05,0.09,1436.11,"6,000",27/12/2014,15
Luxembourg,SES S.A.,Commercial,Communications,GEO,,23.48,"35,770","35,804",4.03E-04,0.06,1436.07,"1,500",29/3/2002,10
Luxembourg,SES S.A.,Commercial,Communications,GEO,,23.5,"35,768","35,806",4.51E-04,0.08,1436.11,"5,471",21/5/2010,15
Luxembourg,SES S.A.,Commercial,Communications,GEO,,31.55,"35,787","35,793",7.12E-05,0.05,1436.26,"5,724",22/3/2014,15
USA,Astranis,Commercial,Technology Development,LEO,Sun-Synchronous,0,494,505,8.01E-04,97.5,94.5,,11/1/2018,
Switzerland,Astrocast,Commercial,Communications,LEO,Sun-Synchronous,0,521,534,9.42E-04,97.5,94.6,4,24/1/2021,
Switzerland,Astrocast,Commercial,Communications,LEO,Sun-Synchronous,0,523,535,8.70E-04,97.5,94.6,4,24/1/2021,
Switzerland,Astrocast,Commercial,Communications,LEO,Sun-Synchronous,0,522,536,1.01E-03,97.5,94.6,4,24/1/2021,
Switzerland,Astrocast,Commercial,Communications,LEO,Sun-Synchronous,0,524,537,9.42E-04,97.5,94.5,4,24/1/2021,
Switzerland,Astrocast,Commercial,Communications,LEO,Sun-Synchronous,0,526,535,6.52E-04,97.5,94.5,4,24/1/2021,
